id,name,match_api_id,home_team,away_team_api_id,home_team_goal,away_team_goal,season,name:1,BWH,BWH:1,LBH,PSH,WHH,VCH,BWD,IWD,LBD,PSD,WHD,VCD,BWA,IWA,LBA,LBA:1,PSA,WHA,VCA,B365A,B365D,B365H,vyhodny_kurs,id,team_api_id,team_fifa_api_id,team_long_name,team_short_name
71,Belgium Jupiler League,492734,Tubize,9998,2,1,2008/2009,Belgium,2.4,2.4,2.37,,2.4,2.5,3.2,3.1,3.2,,3.25,3.25,2.65,2.6,2.6,2.6,,2.5,2.5,2.5,3.25,2.8,ANO,8,9998,1747,RAEC Mons,MON
72,Belgium Jupiler League,492735,KVC Westerlo,9984,1,2,2008/2009,Belgium,1.95,1.95,2,,2,2,3.05,3.2,3.2,,3.2,3.25,3.7,3.4,3.2,3.2,,3.2,3.25,3.6,3.3,2.05,ANO,5,9984,1750,KSV Cercle Brugge,CEB
75,Belgium Jupiler League,492746,RAEC Mons,10000,2,2,2008/2009,Belgium,2.4,2.4,2.4,,2.3,2.2,3.2,3.1,3.25,,3.25,3.25,2.7,2.6,2.5,2.5,,2.6,2.9,3.25,3.25,2.25,NE,3,10000,15005,SV Zulte-Waregem,ZUL
79,Belgium Jupiler League,492758,Royal Excel Mouscron,8342,5,1,2008/2009,Belgium,3,3,2.75,,2.7,2.8,3.2,3.1,3.25,,3.2,3.25,2.2,2.2,2.2,2.2,,2.25,2.25,2.4,3.25,3,ANO,12,8342,231,Club Brugge KV,CLB
80,Belgium Jupiler League,492760,KV Kortrijk,10001,0,0,2008/2009,Belgium,2.35,2.35,2.2,,2.4,2.4,3.15,3.1,3.25,,3.2,3.2,2.8,2.5,2.75,2.75,,2.5,2.65,3.2,3.25,2.3,NE,17,10001,681,KVC Westerlo,WES
82,Belgium Jupiler League,492769,Beerschot AC,9987,4,1,2008/2009,Belgium,2.55,2.55,2.5,,2.5,2.4,3.3,3.2,3.1,,3.1,3.25,2.4,2.3,2.5,2.5,,2.5,2.65,2.62,3.3,2.6,ANO,1,9987,673,KRC Genk,GEN
83,Belgium Jupiler League,492772,Sporting Lokeren,10000,2,1,2008/2009,Belgium,2.15,2.15,1.8,,2,2.1,3.1,3.2,3.2,,3.2,3.2,3.1,3.7,4,4,,3.2,3.2,3.3,3.2,2.1,ANO,3,10000,15005,SV Zulte-Waregem,ZUL
85,Belgium Jupiler League,492779,RAEC Mons,9991,1,2,2008/2009,Belgium,2.9,2.9,2.7,,2.6,2.8,3.3,3.2,3.3,,3.25,3.2,2.15,2.3,2.2,2.2,,2.3,2.3,2.3,3.3,2.8,ANO,7,9991,674,KAA Gent,GEN
90,Belgium Jupiler League,492792,Sporting Charleroi,10001,1,2,2008/2009,Belgium,2.1,2.1,2.1,,2.1,2.2,3.15,3.1,3.2,,3.2,3.1,3.15,2.8,3,3,,3,3.1,3.5,3.3,2.1,ANO,17,10001,681,KVC Westerlo,WES
91,Belgium Jupiler League,492798,SV Zulte-Waregem,8342,3,1,2008/2009,Belgium,2.75,2.75,2.75,,2.6,2.8,3.2,3.2,3.25,,3.25,3.2,2.3,2.1,2.2,2.2,,2.3,2.3,2.4,3.25,2.7,ANO,12,8342,231,Club Brugge KV,CLB
92,Belgium Jupiler League,492801,KAA Gent,8635,1,2,2008/2009,Belgium,2.8,2.8,2.75,,2.75,2.8,3.2,3,3.25,,3.2,3.25,2.3,2.1,2.2,2.2,,2.25,2.2,2.2,3.3,3,ANO,6,8635,229,RSC Anderlecht,AND
95,Belgium Jupiler League,492807,KSV Roeselare,9986,3,1,2008/2009,Belgium,2.6,2.6,2.5,,2.5,2.65,3.25,3.2,3.2,,3.1,3.2,2.4,2.4,2.5,2.5,,2.5,2.35,2.4,3.2,2.7,ANO,18,9986,670,Sporting Charleroi,CHA
96,Belgium Jupiler League,492810,Tubize,9994,2,1,2008/2009,Belgium,2.85,2.85,2.75,,2.8,2.7,3.25,3.2,3.25,,3.25,3.2,2.2,2.3,2.2,2.2,,2.2,2.35,2.25,3.2,2.9,ANO,4,9994,2007,Sporting Lokeren,LOK
97,Belgium Jupiler League,492814,KV Mechelen,9996,2,2,2008/2009,Belgium,2.25,2.25,2.2,,2.3,2.3,3.2,3.2,3.25,,3.25,3.2,2.85,2.75,2.75,2.75,,2.6,2.8,2.8,3.25,2.3,NE,16,9996,111560,Royal Excel Mouscron,MOU
99,Belgium Jupiler League,492819,FCV Dender EH,9993,0,1,2008/2009,Belgium,2.75,2.75,2.6,,2.5,2.9,3.2,3.2,3.2,,3.25,3.2,2.3,2.3,2.37,2.37,,2.4,2.25,2.1,3.25,3.2,ANO,2,9993,675,Beerschot AC,BAC
106,Belgium Jupiler League,492488,Royal Excel Mouscron,8203,3,1,2008/2009,Belgium,2.05,2.05,1.91,,2,2,3.2,3.1,3.4,,3.3,3.25,3.2,3,3.25,3.25,,3.1,3.25,3.4,3.3,2.05,ANO,11,8203,110724,KV Mechelen,MEC
107,Belgium Jupiler League,492489,KV Kortrijk,9984,2,1,2008/2009,Belgium,2.8,2.8,2.75,,2.5,2.8,3.2,3.2,3.2,,3.3,3.2,2.25,2.3,2.25,2.25,,2.38,2.25,2.2,3.25,3,ANO,5,9984,1750,KSV Cercle Brugge,CEB
110,Belgium Jupiler League,492844,Sporting Lokeren,9987,1,2,2008/2009,Belgium,2.3,2.3,2.2,,2.3,2.25,3.2,3.1,3.2,,3.3,3.25,2.75,2.5,2.8,2.8,,2.6,2.8,2.7,3.25,2.4,ANO,1,9987,673,KRC Genk,GEN
111,Belgium Jupiler League,492845,RAEC Mons,9984,1,1,2008/2009,Belgium,2.8,2.8,3.1,,2.8,2.75,3.2,3.1,3.3,,3.2,3.25,2.25,2.1,2,2,,2.2,2.25,2.2,3.2,3.25,NE,5,9984,1750,KSV Cercle Brugge,CEB
112,Belgium Jupiler League,492847,Sporting Charleroi,9991,2,5,2008/2009,Belgium,2.4,2.4,2.5,,2.5,2.6,3.2,3.1,3.1,,3.1,3.25,2.6,2.6,2.5,2.5,,2.5,2.4,2.5,3.25,2.6,ANO,7,9991,674,KAA Gent,GEN
124,Belgium Jupiler League,492995,Tubize,8203,1,5,2008/2009,Belgium,2.1,2.1,2.25,,2.25,2.4,3.2,3.1,3.25,,3.2,3.25,3.1,2.6,2.7,2.7,,2.75,2.6,2.62,3.2,2.5,ANO,11,8203,110724,KV Mechelen,MEC
126,Belgium Jupiler League,492997,KSV Roeselare,9993,2,2,2008/2009,Belgium,3,3,3.2,,3,3.25,3.3,3.2,3.2,,3.2,3.25,2.1,2,2,2,,2.1,2,2.15,3.2,3.1,NE,2,9993,675,Beerschot AC,BAC
129,Belgium Jupiler League,493000,Beerschot AC,9984,1,1,2008/2009,Belgium,2.15,2.15,2.1,,2,2.1,3.3,3.3,3.2,,3.2,3.25,2.9,3,3,3,,3.2,3.1,3.1,3.3,2.15,NE,5,9984,1750,KSV Cercle Brugge,CEB
130,Belgium Jupiler League,493001,KV Mechelen,9991,3,3,2008/2009,Belgium,2.7,2.7,2.5,,2.8,2.8,3.25,3.2,3.2,,3.2,3.25,2.3,2.3,2.4,2.4,,2.2,2.25,2.37,3.3,2.7,NE,7,9991,674,KAA Gent,GEN
133,Belgium Jupiler League,493004,RAEC Mons,8571,1,1,2008/2009,Belgium,2.2,2.2,2.25,,2.1,2,3.2,3.2,3.25,,3.2,3.25,2.9,2.9,2.7,2.7,,3,3.25,3.2,3.3,2.1,NE,14,8571,100081,KV Kortrijk,KOR
135,Belgium Jupiler League,493006,Royal Excel Mouscron,10001,0,0,2008/2009,Belgium,2.25,2.25,2.38,,2.38,2.4,3.25,3.2,3.2,,3.1,3.25,2.8,2.5,2.5,2.5,,2.62,2.6,2.7,3.3,2.4,NE,17,10001,681,KVC Westerlo,WES
136,Belgium Jupiler League,493007,KVC Westerlo,8342,1,1,2008/2009,Belgium,2.65,2.65,2.5,,2.62,2.7,3.15,3.1,3.3,,3.2,3.2,2.4,2.3,2.38,2.38,,2.3,2.35,2.45,3.2,2.7,NE,12,8342,231,Club Brugge KV,CLB
137,Belgium Jupiler League,493008,RSC Anderlecht,9985,4,2,2008/2009,Belgium,2.2,2.2,2.2,,2.2,2.1,3.2,3.1,3,,3.2,3.2,3,2.8,3,3,,2.8,3.2,3,3.2,2.25,ANO,10,9985,232,Standard de Liège,STL
138,Belgium Jupiler League,493009,KSV Roeselare,9998,3,2,2008/2009,Belgium,2.1,2.1,2.1,,2.1,2.2,3.2,3.2,3.3,,3.2,3.3,3.1,3.1,2.88,2.88,,3,2.9,3.25,3.25,2.1,ANO,8,9998,1747,RAEC Mons,MON
139,Belgium Jupiler League,493010,Tubize,10000,0,6,2008/2009,Belgium,2.75,2.75,2.75,,2.75,2.8,3.2,3.1,3.25,,3.2,3.25,2.3,2.2,2.2,2.2,,2.25,2.25,2.2,3.2,3,ANO,3,10000,15005,SV Zulte-Waregem,ZUL
140,Belgium Jupiler League,493011,KV Kortrijk,9986,1,1,2008/2009,Belgium,2.1,2.1,1.91,,1.9,2.1,3.2,3.2,3.25,,3.25,3.25,3,3.4,3.4,3.4,,3.4,3.1,3.1,3.4,2.1,NE,18,9986,670,Sporting Charleroi,CHA
142,Belgium Jupiler League,493013,FCV Dender EH,8203,1,2,2008/2009,Belgium,2.3,2.3,2.25,,2.3,2.3,3.15,3.1,3.25,,3.2,3.3,2.8,2.5,2.7,2.7,,2.62,2.7,2.87,3.2,2.3,ANO,11,8203,110724,KV Mechelen,MEC
146,Belgium Jupiler League,493017,KV Mechelen,9987,2,1,2008/2009,Belgium,2.95,2.95,2.75,,2.62,2.65,3.25,3.1,3.25,,3.2,3.25,2.2,2.2,2.2,2.2,,2.3,2.35,2.3,3.4,3,ANO,1,9987,673,KRC Genk,GEN
149,Belgium Jupiler League,493020,Sporting Lokeren,9991,0,1,2008/2009,Belgium,2.7,2.7,2.5,,2.62,2.8,3,3.1,3.25,,3.2,3.25,2.5,2.4,2.37,2.37,,2.3,2.3,2.45,3.25,2.62,ANO,7,9991,674,KAA Gent,GEN
154,Belgium Jupiler League,493025,KSV Cercle Brugge,8342,1,3,2008/2009,Belgium,3.1,3.1,3.2,,3.2,2.65,3,3.1,3.2,,3.2,3.2,2.2,2.2,2,2,,2,2.35,2.37,3.2,2.8,ANO,12,8342,231,Club Brugge KV,CLB
157,Belgium Jupiler League,493028,KV Kortrijk,9994,2,3,2008/2009,Belgium,2.25,2.25,2.2,,2.25,2.25,3.1,3.1,3.2,,3.2,3.2,2.9,2.8,2.8,2.8,,2.75,2.8,3.1,3.1,2.4,ANO,4,9994,2007,Sporting Lokeren,LOK
162,Belgium Jupiler League,493033,Sporting Charleroi,9993,0,0,2008/2009,Belgium,2.4,2.4,2.38,,2.25,2.4,3.2,3.1,3.2,,3.2,3.25,2.6,2.6,2.6,2.6,,2.75,2.65,2.8,3.25,2.5,NE,2,9993,675,Beerschot AC,BAC
166,Belgium Jupiler League,493037,Sporting Lokeren,9986,0,0,2008/2009,Belgium,1.85,1.85,1.83,,1.91,1.9,3.25,3.1,3.3,,3.2,3.25,3.95,3.2,3.6,3.6,,3.5,3.6,3.6,3.25,2.1,NE,18,9986,670,Sporting Charleroi,CHA
167,Belgium Jupiler League,493038,FCV Dender EH,9984,1,0,2008/2009,Belgium,2.7,2.7,2.6,,2.5,2.7,3.2,3.2,3.2,,3.25,3.25,2.4,2.4,2.37,2.37,,2.38,2.3,2.38,3.4,2.88,ANO,5,9984,1750,KSV Cercle Brugge,CEB
170,Belgium Jupiler League,493041,Royal Excel Mouscron,8571,1,0,2008/2009,Belgium,2.4,2.4,2.25,,2.5,2.25,3.2,3,3.2,,3.1,3.25,2.6,2.7,2.75,2.75,,2.5,2.9,2.62,3.25,2.7,ANO,14,8571,100081,KV Kortrijk,KOR
175,Belgium Jupiler League,493046,RAEC Mons,9994,0,2,2008/2009,Belgium,2.4,2.4,2.5,,2.25,2.35,3.2,3.2,3.25,,3.2,3.25,2.65,2.75,2.4,2.4,,2.75,2.7,3,3.2,2.25,ANO,4,9994,2007,Sporting Lokeren,LOK
177,Belgium Jupiler League,493048,KSV Roeselare,8203,1,0,2008/2009,Belgium,2.2,2.2,2.2,,2.1,2.25,3.15,3.2,3.25,,3.2,3.25,3,2.75,2.75,2.75,,3,2.8,3,3.3,2.2,ANO,11,8203,110724,KV Mechelen,MEC
186,Belgium Jupiler League,493057,Tubize,9999,0,1,2008/2009,Belgium,2.65,2.65,2.62,,2.62,2.75,3.35,3.2,3.2,,3.1,3.25,2.35,2.3,2.3,2.3,,2.38,2.3,2.3,3.3,3.1,ANO,13,9999,546,KSV Roeselare,ROS
191,Belgium Jupiler League,493062,KSV Roeselare,9987,1,0,2008/2009,Belgium,3.1,3.1,2.75,,2.8,2.8,3.3,3.1,3.25,,3.2,3.25,2.1,2.2,2.2,2.2,,2.2,2.25,2.25,3.25,3.2,ANO,1,9987,673,KRC Genk,GEN
195,Belgium Jupiler League,493066,RAEC Mons,8203,0,1,2008/2009,Belgium,2.3,2.3,2.3,,2.2,2.4,3.3,3.2,3.2,,3.2,3.25,2.75,2.5,2.62,2.62,,2.8,2.65,3.2,3.3,2.25,ANO,11,8203,110724,KV Mechelen,MEC
203,Belgium Jupiler League,492495,FCV Dender EH,9996,1,2,2008/2009,Belgium,2.45,2.45,2.5,,2.3,2.5,3.2,3.2,3.2,,3.3,3.2,2.55,2.4,2.5,2.5,,2.6,2.5,2.5,3.3,2.5,ANO,16,9996,111560,Royal Excel Mouscron,MOU
207,Belgium Jupiler League,492499,KVC Westerlo,9993,1,0,2008/2009,Belgium,2.4,2.4,2.2,,2.15,2.2,3.2,3,3.2,,3.2,3.2,2.6,2.7,2.8,2.8,,2.9,3,2.8,3.3,2.25,ANO,2,9993,675,Beerschot AC,BAC
212,Belgium Jupiler League,493074,KV Mechelen,9984,0,1,2008/2009,Belgium,2.15,2.15,2.2,,2.25,2.35,3.1,3.2,3,,3.2,3.25,3.1,3.1,3,3,,2.75,2.65,3,3.25,2.38,ANO,5,9984,1750,KSV Cercle Brugge,CEB
213,Belgium Jupiler League,493075,KRC Genk,9991,2,2,2008/2009,Belgium,2.4,2.4,2.3,,2.38,2.6,3.25,3.1,3.2,,3.1,3.25,2.6,2.5,2.62,2.62,,2.62,2.6,2.62,3.3,2.62,NE,7,9991,674,KAA Gent,GEN
214,Belgium Jupiler League,493076,FCV Dender EH,9999,3,1,2008/2009,Belgium,2.25,2.25,2.25,,2.25,2.5,3.3,3,3.2,,3.2,3.25,2.75,2.9,2.75,2.75,,2.75,2.5,2.62,3.3,2.38,ANO,13,9999,546,KSV Roeselare,ROS
216,Belgium Jupiler League,493078,Sporting Lokeren,9993,1,0,2008/2009,Belgium,2.15,2.15,2.25,,2.25,2.35,3.15,3.2,3,,3.2,3.25,3.05,2.75,2.87,2.87,,2.75,2.65,3,3.25,2.38,ANO,2,9993,675,Beerschot AC,BAC
217,Belgium Jupiler League,493079,Beerschot AC,8342,2,0,2008/2009,Belgium,2.7,2.7,2.8,,2.6,2.4,3.25,3.1,3.2,,3.1,3.2,2.3,2.2,2.2,2.2,,2.4,2.6,2.75,3.2,2.6,ANO,12,8342,231,Club Brugge KV,CLB
219,Belgium Jupiler League,493081,Sporting Charleroi,10000,1,0,2008/2009,Belgium,2.1,2.1,2.2,,2.15,2.1,3.25,3.2,3.2,,3.2,3.2,3.15,2.75,2.8,2.8,,2.9,3.2,3.2,3.3,2.1,ANO,3,10000,15005,SV Zulte-Waregem,ZUL
220,Belgium Jupiler League,493082,KSV Roeselare,9991,1,3,2008/2009,Belgium,2.85,2.85,3.4,,2.9,3.2,3.25,3.2,3.25,,3.2,3.2,2.2,2.2,1.91,1.91,,2.15,2.1,2.1,3.3,3.2,ANO,7,9991,674,KAA Gent,GEN
225,Belgium Jupiler League,493087,RAEC Mons,10001,0,2,2008/2009,Belgium,3.9,3.9,3.4,,3.5,3.2,3.2,3.4,3.25,,3.2,3.2,1.85,2,1.91,1.91,,1.9,2.1,2.05,3.2,3.4,ANO,17,10001,681,KVC Westerlo,WES
229,Belgium Jupiler League,493091,KV Mechelen,9986,2,1,2008/2009,Belgium,2.35,2.35,2.2,,2.25,2.25,3.3,3.2,3.2,,3.1,3.2,2.6,2.5,2.8,2.8,,2.8,2.9,2.87,3.25,2.3,ANO,18,9986,670,Sporting Charleroi,CHA
234,Belgium Jupiler League,493096,Royal Excel Mouscron,9993,3,1,2008/2009,Belgium,2.55,2.55,2.37,,2.4,2.6,3.2,3.2,3.2,,3.1,3.2,2.5,2.4,2.6,2.6,,2.6,2.4,2.5,3.25,2.6,ANO,2,9993,675,Beerschot AC,BAC
236,Belgium Jupiler League,493098,Sporting Charleroi,9987,3,0,2008/2009,Belgium,2.3,2.3,2.1,,2.4,2.25,3.3,3.2,3.2,,3.2,3.25,2.7,2.75,3,3,,2.5,2.8,3.2,3.3,2.25,ANO,1,9987,673,KRC Genk,GEN
237,Belgium Jupiler League,493099,Royal Excel Mouscron,10000,0,2,2008/2009,Belgium,2.2,2.2,2.25,,2.25,2.2,3.3,3.2,3.2,,3.2,3.25,2.8,2.75,2.75,2.75,,2.75,2.9,3,3.3,2.38,ANO,3,10000,15005,SV Zulte-Waregem,ZUL
242,Belgium Jupiler League,493104,RAEC Mons,4049,1,1,2008/2009,Belgium,2.15,2.15,2.2,,2.1,2,3.3,3.2,3.2,,3.2,3.25,2.95,2.75,2.8,2.8,,3,3.4,3.5,3.5,2.05,NE,15,4049,,Tubize,TUB
